source,domain,field,trusted
Nexus News,nexusnews.org,General News,True
Global View,globalview.com,General News,True
Unity Herald,unityherald.net,General News,True
World Scope,worldscope.info,General News,True
Clear Dispatch,clear-dispatch.com,General News,True
Daily Beacon,dailybeacon.org,General News,True
Truth Times,truth-times.net,General News,True
Nova Press,novapress.info,General News,True
Core Dispatch,coredispatch.com,General News,True
Bright Herald,bright-herald.org,General News,True
Focus Times,focustimes.net,General News,True
Echo Press,echopress.info,General News,True
Globe Herald,globeherald.com,General News,True
Star Dispatch,stardispatch.org,General News,True
Open Dispatch,opendispatch.net,General News,True
True Scope,truescope.info,General News,True
Civic Herald,civicherald.com,General News,True
Hope Dispatch,hopedispatch.org,General News,True
Light Times,lighttimes.net,General News,True
Vision Herald,visionherald.info,General News,True
Summit Dispatch,summitdispatch.com,General News,True
Beacon Herald,beaconherald.org,General News,True
Rise Press,risepress.net,General News,True
Pure Dispatch,puredispatch.info,General News,True
Bold Herald,boldherald.com,General News,True
Clarity Dispatch,claritydispatch.org,General News,True
Unity Scope,unityscope.net,General News,True
Global Herald,global-herald.info,General News,True
Insight Dispatch,insightdispatch.com,General News,True
Truth Scope,truthscope.org,General News,True
World Dispatch,world-dispatch.net,General News,True
Daily Scope,dailyscope.info,General News,True
Core Herald,core-herald.com,General News,True
Bright Dispatch,brightdispatch.org,General News,True
Open Herald,openherald.net,General News,True
Star Scope,starscope.info,General News,True
Clear Herald,clearherald.com,General News,True
Hope Scope,hopescope.org,General News,True
Vision Dispatch,vision-dispatch.net,General News,True
Advance Herald,advanceherald.info,General News,True
Tech Scope,techscope.org,Science and Technology,True
Future Dispatch,futuredispatch.com,Science and Technology,True
Inno Times,innotimes.net,Science and Technology,True
Science Herald,scienceherald.info,Science and Technology,True
Tech Dispatch,tech-dispatch.com,Science and Technology,True
Digital Scope,digitalscope.org,Science and Technology,True
Nova Science,novascience.net,Science and Technology,True
Bright Science,brightscience.info,Science and Technology,True
Core Tech,coretech.com,Science and Technology,True
Insight Science,insightscience.org,Science and Technology,True
True Tech,true-tech.net,Science and Technology,True
Open Tech,opentech.info,Science and Technology,True
Star Science,starscience.com,Science and Technology,True
Clear Science,clearscience.org,Science and Technology,True
Hope Tech,hope-tech.net,Science and Technology,True
Vision Science,visionscience.info,Science and Technology,True
Advance Tech,advance-tech.com,Science and Technology,True
Pure Science,purescience.org,Science and Technology,True
Bold Tech,bold-tech.net,Science and Technology,True
Clarity Science,clarityscience.info,Science and Technology,True
Unity Tech,unity-tech.com,Science and Technology,True
Global Science,globalscience.org,Science and Technology,True
Daily Tech,daily-tech.net,Science and Technology,True
Rise Science,risescience.info,Science and Technology,True
Light Tech,light-tech.com,Science and Technology,True
Beacon Science,beaconscience.org,Science and Technology,True
Summit Tech,summit-tech.net,Science and Technology,True
Focus Science,focus-science.info,Science and Technology,True
Echo Science,echoscience.com,Science and Technology,True
Globe Science,globescience.org,Science and Technology,True
Trade Scope,tradescope.com,Business and Finance,True
Wealth Dispatch,wealthdispatch.org,Business and Finance,True
Market Herald,marketherald.info,Business and Finance,True
Finance Scope,financescope.net,Business and Finance,True
Core Finance,corefinance.com,Business and Finance,True
Insight Trade,insighttrade.org,Business and Finance,True
True Wealth,truewealth.info,Business and Finance,True
Open Finance,openfinance.net,Business and Finance,True
Star Trade,startrade.com,Business and Finance,True
Clear Finance,clearfinance.org,Business and Finance,True
Hope Trade,hopetrade.net,Business and Finance,True
Vision Finance,visionfinance.info,Business and Finance,True
Advance Trade,advancetrade.com,Business and Finance,True
Pure Trade,puretrade.org,Business and Finance,True
Bold Finance,boldfinance.net,Business and Finance,True
Clarity Trade,claritytrade.info,Business and Finance,True
Unity Finance,unityfinance.com,Business and Finance,True
Global Finance,global-finance.net,Business and Finance,True
Daily Trade,dailytrade.info,Business and Finance,True
Rise Finance,risefinance.org,Business and Finance,True
Care Scope,carescope.com,Health and Medicine,True
Well Herald,wellherald.org,Health and Medicine,True
Health Dispatch,healthdispatch.info,Health and Medicine,True
Med Scope,medscope.net,Health and Medicine,True
Core Care,corecare.com,Health and Medicine,True
Insight Health,insighthealth.org,Health and Medicine,True
True Health,truehealth.info,Health and Medicine,True
Open Care,opencare.net,Health and Medicine,True
Star Health,starhealth.com,Health and Medicine,True
Clear Care,clearcare.org,Health and Medicine,True
Hope Health,hopehealth.net,Health and Medicine,True
Vision Care,visioncare.info,Health and Medicine,True
Advance Health,advancehealth.com,Health and Medicine,True
Pure Care,purecare.org,Health and Medicine,True
Bold Health,boldhealth.net,Health and Medicine,True
Clarity Care,claritycare.info,Health and Medicine,True
Unity Health,unityhealth.com,Health and Medicine,True
Global Care,globalcare.net,Health and Medicine,True
Daily Health,dailyhealth.info,Health and Medicine,True
Rise Care,risecare.org,Health and Medicine,True
State Scope,statescope.com,Politics and International Affairs,True
Policy Herald,policyherald.org,Politics and International Affairs,True
Global Affairs,global-affairs.info,Politics and International Affairs,True
Civic Scope,civicscope.net,Politics and International Affairs,True
Core Policy,corepolicy.com,Politics and International Affairs,True
Insight Affairs,insightaffairs.org,Politics and International Affairs,True
True Policy,truepolicy.info,Politics and International Affairs,True
Open Affairs,openaffairs.net,Politics and International Affairs,True
Star Policy,starpolicy.com,Politics and International Affairs,True
Clear Affairs,clearaffairs.org,Politics and International Affairs,True
Hope Policy,hopepolicy.net,Politics and International Affairs,True
Vision Affairs,visionaffairs.info,Politics and International Affairs,True
Advance Policy,advancepolicy.com,Politics and International Affairs,True
Pure Affairs,pureaffairs.org,Politics and International Affairs,True
Bold Policy,boldpolicy.net,Politics and International Affairs,True
Clarity Affairs,clarityaffairs.info,Politics and International Affairs,True
Unity Policy,unitypolicy.com,Politics and International Affairs,True
Global Policy,global-policy.net,Politics and International Affairs,True
Daily Affairs,dailyaffairs.info,Politics and International Affairs,True
Rise Policy,risepolicy.org,Politics and International Affairs,True
Green Scope,greenscope.com,Environment and Climate,True
Eco Herald,ecoherald.org,Environment and Climate,True
Planet Dispatch,planetdispatch.info,Environment and Climate,True
Earth Scope,earthscope.net,Environment and Climate,True
Core Green,coregreen.com,Environment and Climate,True
Insight Eco,insighteco.org,Environment and Climate,True
True Green,truegreen.info,Environment and Climate,True
Open Green,opengreen.net,Environment and Climate,True
Star Eco,stareco.com,Environment and Climate,True
Clear Green,clear-green.org,Environment and Climate,True
Hope Green,hopegreen.net,Environment and Climate,True
Vision Eco,visioneco.info,Environment and Climate,True
Advance Green,advancegreen.com,Environment and Climate,True
Pure Eco,pureeco.org,Environment and Climate,True
Bold Green,boldgreen.net,Environment and Climate,True
Clarity Eco,clarityeco.info,Environment and Climate,True
Unity Green,unitygreen.com,Environment and Climate,True
Global Eco,global-eco.net,Environment and Climate,True
Daily Green,dailygreen.info,Environment and Climate,True
Rise Eco,riseeco.org,Environment and Climate,True
Learn Scope,learnscope.com,Education,True
Edu Herald,eduherald.org,Education,True
School Dispatch,schooldispatch.info,Education,True
Academic Scope,academicscope.net,Education,True
Core Learn,corelearn.com,Education,True
Insight Edu,insightedu.org,Education,True
True Learn,truelearn.info,Education,True
Open Learn,openlearn.net,Education,True
Star Edu,staredu.com,Education,True
Clear Learn,clearlearn.org,Education,True
Hope Edu,hopeedu.net,Education,True
Vision Learn,visionlearn.info,Education,True
Advance Edu,advanceedu.com,Education,True
Pure Learn,purelearn.org,Education,True
Bold Edu,boledu.net,Education,True
Clarity Learn,claritylearn.info,Education,True
Arts Scope,artsscope.com,Entertainment and Culture,True
Culture Herald,cultureherald.org,Entertainment and Culture,True
Pop Dispatch,popdispatch.info,Entertainment and Culture,True
Trend Scope,trendscope.net,Entertainment and Culture,True
Core Culture,coreculture.com,Entertainment and Culture,True
Insight Arts,insightarts.org,Entertainment and Culture,True
True Culture,trueculture.info,Entertainment and Culture,True
Open Culture,openculture.net,Entertainment and Culture,True
Star Arts,stararts.com,Entertainment and Culture,True
Clear Culture,clearculture.org,Entertainment and Culture,True
Hope Arts,hopearts.net,Entertainment and Culture,True
Vision Culture,visionculture.info,Entertainment and Culture,True
Advance Culture,advanceculture.com,Entertainment and Culture,True
Pure Arts,purearts.org,Entertainment and Culture,True
Bold Culture,boldculture.net,Entertainment and Culture,True
Clarity Culture,clarity-culture.info,Entertainment and Culture,True
Verify Scope,verifyscope.com,Fact-Checking,True
Fact Herald,factherald.org,Fact-Checking,True
Truth Dispatch,truthdispatch.info,Fact-Checking,True
Check Scope,checkscope.net,Fact-Checking,True
Core Check,corecheck.com,Fact-Checking,True
Insight Verify,insightverify.org,Fact-Checking,True
True Check,truecheck.info,Fact-Checking,True
Open Check,opencheck.net,Fact-Checking,True
Star Verify,starverify.com,Fact-Checking,True
Clear Check,clearcheck.org,Fact-Checking,True
Asia Scope,asiascope.net,Regional (Asia),True
Europe Herald,europeherald.com,Regional (Europe),True
Africa Dispatch,africadispatch.info,Regional (Africa),True
Oceania Scope,oceaniascope.org,Regional (Oceania),True
Americas Herald,americasherald.net,Regional (North America),True
Middle East Scope,middleeastscope.com,Regional (Middle East),True
Latin Dispatch,latindispatch.info,Regional (Latin America),True
Pacific Herald,pacificherald.org,Regional (Oceania),True
Viral Hoax,viralhoax.com,General News,False
Myth Dispatch,mythdispatch.net,General News,False
Lie Herald,lieherald.info,,False
Scam Scope,scamscope.org,General News,False
Hype Dispatch,hypedispatch.com,General News,False
False Times,falsetimes.net,General News,False
Rumor Herald,rumorherald.info,,False
Spin Dispatch,spindispatch.org,General News,False
Hoax Times,hoaxtimes.com,General News,False
Gossip Scope,gossipscope.net,General News,False
Wild Herald,wildherald.info,,False
Fake Dispatch,fakedispatch.org,General News,False
Myth Times,mythtimes.com,General News,False
Lie Scope,liescope.net,General News,False
Scam Herald,scamherald.info,,False
Hype Times,hypetimes.org,General News,False
False Scope,falsescope.com,General News,False
Rumor Times,rumortimes.net,General News,False
Spin Herald,spinherald.info,,False
Hoax Scope,hoaxscope.org,General News,False
Gossip Herald,gossipherald.com,General News,False
Wild Times,wildtimes.net,General News,False
Fake Scope,fakescope.info,,False
Myth Herald,mythherald.org,General News,False
Lie Times,lietimes.com,General News,False
Scam Dispatch,scam-dispatch.net,General News,False
Hype Herald,hypeherald.info,,False
False Herald,falseherald.org,General News,False
Rumor Scope,rumorscope.com,General News,False
Spin Scope,spinscope.net,General News,False
Hoax Herald,hoaxherald.info,,False
Gossip Times,gossiptimes.org,General News,False
Wild Scope,wildscope.com,General News,False
Fake Herald,fakeherald.net,General News,False
Myth Scope,mythscope.info,,False
Lie Dispatch,liedispatch.org,General News,False
Scam Times,scam-times.com,General News,False
Hype Scope,hypescope.net,General News,False
